"id","name","accessLevel","permalink","createdAt","modifiedAt","_id","_sheetid","_email","favorite"
6791811613124484,""Week of" Appointment Summary","OWNER","https://app.smartsheet.com/sheets/52hGW93gVh9Qp8mVQppC7P34664gprX34M2FcMM1","2022-02-17T15:51:56Z","2023-02-22T18:06:05Z","s_6791811613124484","s_6791811613124484","lois.lane@acuworkflow.com","null"
6131243940112260,"Audience Framework","EDITOR_SHARE","https://app.smartsheet.com/sheets/7HRxJ4qGGjQ5rM6rRFrhg4W6GxRR9jv7rc5jpQv1","2021-06-03T05:20:39Z","2021-06-03T05:23:47Z","s_6131243940112260","s_6131243940112260","lois.lane@acuworkflow.com","null"
8383043753797508,"Campaign Budget","EDITOR_SHARE","https://app.smartsheet.com/sheets/c8hJ2h6xrRFHmw7PJX9Jg7cqJ9mh5cR67WHFQXg1","2021-06-03T05:20:40Z","2021-11-24T16:51:53Z","s_8383043753797508","s_8383043753797508","lois.lane@acuworkflow.com","null"
1064694359320452,"Campaign Metrics","EDITOR_SHARE","https://app.smartsheet.com/sheets/JcMGMhWFmpjHVwgjqgjhgfMFr9mVCxVVX93xFpP1","2021-06-03T05:20:40Z","2021-11-24T16:52:41Z","s_1064694359320452","s_1064694359320452","lois.lane@acuworkflow.com","null"
3879444126427012,"Campaign Plan","EDITOR_SHARE","https://app.smartsheet.com/sheets/h2hMQC9CrCRmV96V4m62H3p2gMvcwVr2R6jhW8c1","2021-06-03T05:20:40Z","2023-04-29T22:00:43Z","s_3879444126427012","s_3879444126427012","lois.lane@acuworkflow.com","null"
1627644312741764,"Campaign Risks and issues","EDITOR_SHARE","https://app.smartsheet.com/sheets/pgCPhXfjQfC5H3xf59WMxqPWWR6W7vwXcvRMh8q1","2021-06-03T05:20:39Z","2021-11-24T16:52:39Z","s_1627644312741764","s_1627644312741764","lois.lane@acuworkflow.com","null"
2531758911580036,"ck-csv-test-csv","EDITOR_SHARE","https://app.smartsheet.com/sheets/Qf9MpMwCGhWcc5XPf2fcP8hmG9PPjvjHWwxWGw51","2022-03-23T03:48:53Z","2022-03-23T03:48:53Z","s_2531758911580036","s_2531758911580036","lois.lane@acuworkflow.com","null"
3414111892596612,"D2 Available Time Slots","OWNER","https://app.smartsheet.com/sheets/688HcvrjQrJQ6w5FX9gMgvrH9hF5WmrwJgPW8HQ1","2022-02-17T15:51:56Z","2022-02-17T15:53:09Z","s_3414111892596612","s_3414111892596612","lois.lane@acuworkflow.com","null"
3064294054094724,"DEMO Campaign Plan TEST","EDITOR_SHARE","https://app.smartsheet.com/sheets/Fx34hc3MQf9rXW49GGPjXrcxh63mWPRvRwQwGFv1","2022-03-28T15:02:01Z","2023-04-29T22:00:59Z","s_3064294054094724","s_3064294054094724","lois.lane@acuworkflow.com","null"
3179892431972228,"inroads_sheet_100","OWNER","https://app.smartsheet.com/sheets/JvH4PJf9rvgF7p5CxJwxFCPwhFHMj877r9f4mVW1","2023-02-27T09:42:10Z","2023-02-27T09:55:53Z","s_3179892431972228","s_3179892431972228","lois.lane@acuworkflow.com","null"
